trial_number,trial_id,state,obj_accuracy_min,obj_inference_ms,obj_model_params,accuracy,val_accuracy,test_accuracy,noisy_accuracy,inference_ms,model_params,n_conv_layers,conv_channels_l1,n_fc_layers,hidden_units_l1,input_resolution,dropout,learning_rate,batch_size,epochs,optimizer,hidden_units_l2,conv_channels_l2,is_pareto
44,trial_0044,TrialState.COMPLETE,0.6639999999999999,0.1658454097656303,41722.0,0.336,0.336,0.3602,0.3472,0.1658454097656303,41722,2,32,2,32,16,0.0324184863630591,0.0002114644112372,128,3,sgd,64.0,48.0,True
45,trial_0045,TrialState.COMPLETE,0.257,0.145813725781263,162922.0,0.743,0.743,0.7318,0.65,0.145813725781263,162922,2,48,2,256,16,0.1340475417036567,0.0012538680853092,128,4,sgd,64.0,32.0,False
46,trial_0046,TrialState.COMPLETE,0.1965,0.2103607562499831,203130.0,0.8035,0.8035,0.7992,0.6814,0.2103607562499831,203130,2,8,1,256,16,0.1203854267787265,0.0011118752015101,64,4,sgd,,48.0,True
47,trial_0047,TrialState.COMPLETE,0.16,0.1644073359374331,103562.0,0.84,0.84,0.8232,0.716,0.1644073359374331,103562,2,8,1,64,28,0.2774728903125955,0.0002118865976813,64,3,adam,,32.0,False
48,trial_0048,TrialState.COMPLETE,0.1554999999999999,0.1434390378906691,119722.0,0.8445,0.8445,0.8568,0.8096,0.1434390378906691,119722,1,8,2,64,28,0.0742102062812484,0.0019189415375617,128,5,adam,256.0,,False
49,trial_0049,TrialState.COMPLETE,0.1985,0.1817888773437914,50634.0,0.8015,0.8015,0.7952,0.779,0.1817888773437914,50634,1,8,1,32,28,0.107597361774039,0.0015069245195299,64,2,sgd,,,False
50,trial_0050,TrialState.COMPLETE,0.1909999999999999,0.1651525925780994,42538.0,0.809,0.809,0.818,0.7156,0.1651525925780994,42538,2,16,2,64,16,0.1497083183024481,0.000343004431461,128,5,adam,64.0,32.0,False
51,trial_0051,TrialState.COMPLETE,0.153,0.1637560542969041,152234.0,0.847,0.847,0.8356,0.8048,0.1637560542969041,152234,1,24,2,32,28,0.2102760729210743,0.0023464030614896,128,5,adam,32.0,,False
52,trial_0052,TrialState.COMPLETE,0.2259999999999999,0.2482820484377867,16842.0,0.774,0.774,0.7708,0.6956,0.2482820484377867,16842,1,8,1,32,16,0.2148426167274191,0.0007359282739093,32,3,sgd,,,False
53,trial_0053,TrialState.COMPLETE,0.2185,0.2306884031249012,39322.0,0.7815,0.7815,0.7658,0.6764,0.2306884031249012,39322,2,8,2,32,16,0.2148426167274191,0.0011054785278893,32,3,sgd,256.0,48.0,False
54,trial_0054,TrialState.COMPLETE,0.1915,0.2459962265625393,51490.0,0.8085,0.8085,0.8028,0.6928,0.2459962265625393,51490,2,16,2,256,16,0.103769373372517,0.0003637908121285,32,2,adam,64.0,8.0,False
55,trial_0055,TrialState.COMPLETE,0.2225,0.2261308781250193,138794.0,0.7775,0.7775,0.7502,0.6714,0.2261308781250193,138794,2,16,1,256,16,0.0241408335962255,0.0002100813292597,32,3,sgd,,32.0,True
56,trial_0056,TrialState.COMPLETE,0.178,0.211574918749946,23666.0,0.822,0.822,0.8298,0.652,0.211574918749946,23666,2,48,1,32,16,0.2075352228504288,0.0007471116585141,32,5,sgd,,24.0,False
57,trial_0057,TrialState.COMPLETE,0.6555,0.1408679445312977,60618.0,0.3445,0.3445,0.346,0.32,0.1408679445312977,60618,2,16,2,32,28,0.2952134465705482,0.0001325267879951,128,3,sgd,128.0,32.0,False
58,trial_0058,TrialState.COMPLETE,0.4655,0.152262249609425,36962.0,0.5345,0.5345,0.5472,0.4902,0.152262249609425,36962,2,16,1,256,16,0.3789133358447261,0.0003532394851692,128,2,sgd,,8.0,False
59,trial_0059,TrialState.COMPLETE,0.2115,0.1492951343749382,26498.0,0.7885,0.7885,0.7752,0.759,0.1492951343749382,26498,2,8,1,64,28,0.0952731124186906,0.0002118865976813,128,3,adam,,8.0,False
